v2tone,positive score,negative score,polarity,activity reference density,self/group reference density,word count,date,date format,year,month,day,min,max,avg,std
1.769911504,3.034134008,1.264222503,4.298356511,21.6182048,0,712,2.02E+13,3/17/15 20:15,2015,3,17,,,,
1.838235294,3.06372549,1.225490196,4.289215686,21.69117647,0,736,2.02E+13,3/17/15 22:00,2015,3,17,,,,
1.800720288,3.00120048,1.200480192,4.201680672,21.72869148,0,751,2.02E+13,3/17/15 23:00,2015,3,17,,,,
4.334365325,4.953560372,0.619195046,5.572755418,18.88544892,3.405572755,306,2.02E+13,3/18/15 1:30,2015,3,18,,,,
4.069767442,4.651162791,0.581395349,5.23255814,18.02325581,3.197674419,321,2.02E+13,3/18/15 1:45,2015,3,18,,,,
4.334365325,4.953560372,0.619195046,5.572755418,18.88544892,3.405572755,306,2.02E+13,3/18/15 3:45,2015,3,18,,,,
1.838235294,3.06372549,1.225490196,4.289215686,21.69117647,0,736,2.02E+13,3/18/15 4:15,2015,3,18,,,,
2.56916996,3.754940711,1.185770751,4.940711462,21.73913043,0,462,2.02E+13,3/18/15 6:00,2015,3,18,,,,
2.56916996,3.754940711,1.185770751,4.940711462,21.73913043,0,462,2.02E+13,3/18/15 7:15,2015,3,18,,,,
2.429667519,3.324808184,0.895140665,4.219948849,20.33248082,0.895140665,685,2.02E+13,3/18/15 11:30,2015,3,18,,,,
2.464332036,3.372243839,0.907911803,4.280155642,20.36316472,0.907911803,677,2.02E+13,3/18/15 11:30,2015,3,18,,,,
1.602564103,2.724358974,1.121794872,3.846153846,21.63461538,1.121794872,570,2.02E+13,3/18/15 11:45,2015,3,18,,,,
0,1.510574018,1.510574018,3.021148036,21.45015106,0.604229607,572,2.02E+13,3/18/15 17:30,2015,3,18,,,,
1.183431953,3.106508876,1.923076923,5.029585799,23.81656805,0.591715976,625,2.02E+13,3/18/15 23:00,2015,3,18,,,,
0.473933649,3.317535545,2.843601896,6.161137441,23.507109,0.663507109,934,2.02E+13,3/18/15 23:30,2015,3,18,,,,
3.040540541,3.378378378,0.337837838,3.716216216,22.46621622,5.743243243,542,2.02E+13,3/19/15 6:00,2015,3,19,,,,
-1.293103448,3.448275862,4.74137931,8.189655172,26.07758621,2.155172414,428,2.02E+13,3/19/15 15:00,2015,3,19,,,,
-1.425661914,3.258655804,4.684317719,7.942973523,25.86558045,2.240325866,463,2.02E+13,3/19/15 15:15,2015,3,19,,,,
-1.248581158,1.475595914,2.724177072,4.199772985,22.36095346,1.13507378,798,2.02E+13,3/19/15 19:00,2015,3,19,,,,
-0.142857143,1.857142857,2,3.857142857,21.28571429,1.142857143,650,2.02E+13,3/19/15 21:45,2015,3,19,,,,
0.709219858,1.418439716,0.709219858,2.127659574,19.5035461,0.354609929,242,2.02E+13,3/19/15 23:15,2015,3,19,,,,
0.766283525,1.53256705,0.766283525,2.298850575,19.15708812,0.383141762,242,2.02E+13,3/19/15 23:15,2015,3,19,,,,
0.692041522,1.384083045,0.692041522,2.076124567,19.37716263,0.346020761,266,2.02E+13,3/20/15 0:00,2015,3,20,,,,
2.066115702,2.892561983,0.826446281,3.719008264,19.83471074,0.41322314,215,2.02E+13,3/20/15 0:30,2015,3,20,,,,
0.766283525,1.53256705,0.766283525,2.298850575,19.15708812,0.383141762,242,2.02E+13,3/20/15 1:15,2015,3,20,,,,
0.692041522,1.384083045,0.692041522,2.076124567,19.37716263,0.346020761,266,2.02E+13,3/20/15 2:00,2015,3,20,,,,
-4.032258065,1.88172043,5.913978495,7.795698925,28.76344086,0,346,2.02E+13,3/20/15 2:00,2015,3,20,,,,
1.006711409,1.677852349,0.67114094,2.348993289,19.79865772,0.33557047,275,2.02E+13,3/20/15 2:45,2015,3,20,,,,
1.071428571,1.785714286,0.714285714,2.5,18.92857143,0.357142857,242,2.02E+13,3/20/15 2:45,2015,3,20,,,,
-1.184834123,1.658767773,2.843601896,4.502369668,23.45971564,0,394,2.02E+13,3/20/15 4:45,2015,3,20,,,,
0.692041522,1.384083045,0.692041522,2.076124567,19.37716263,0.346020761,266,2.02E+13,3/20/15 5:30,2015,3,20,,,,
1.303538175,1.489757914,0.186219739,1.675977654,24.39478585,3.910614525,480,2.02E+13,3/20/15 7:30,2015,3,20,,,,
1.006711409,1.677852349,0.67114094,2.348993289,19.79865772,0.33557047,275,2.02E+13,3/20/15 7:30,2015,3,20,,,,
0.763358779,1.526717557,0.763358779,2.290076336,19.08396947,0.381679389,242,2.02E+13,3/20/15 9:30,2015,3,20,,,,
0.746268657,1.492537313,0.746268657,2.23880597,19.02985075,0.373134328,245,2.02E+13,3/20/15 11:45,2015,3,20,,,,
1.99252802,3.860523039,1.867995019,5.728518057,25.65379826,0.124533001,737,2.02E+13,3/20/15 13:00,2015,3,20,,,,
1.480019734,1.874691663,0.394671929,2.269363592,20.76961026,2.66403552,1808,2.02E+13,3/20/15 13:30,2015,3,20,,,,
0.414078675,1.242236025,0.82815735,2.070393375,17.39130435,0.621118012,445,2.02E+13,3/20/15 15:30,2015,3,20,,,,
1.117318436,3.910614525,2.793296089,6.703910615,25.25139665,0.782122905,825,2.02E+13,3/20/15 16:45,2015,3,20,,,,
0.221565731,1.107828656,0.886262925,1.994091581,20.31019202,0.738552437,1252,2.02E+13,3/20/15 16:45,2015,3,20,,,,
0.215672178,1.078360891,0.862688713,1.941049605,20.27318476,0.718907261,1274,2.02E+13,3/20/15 17:00,2015,3,20,,,,
0.763358779,1.526717557,0.763358779,2.290076336,19.08396947,0.381679389,242,2.02E+13,3/20/15 18:45,2015,3,20,,,,
-0.227272727,0.909090909,1.136363636,2.045454545,25.68181818,0.909090909,395,2.02E+13,3/20/15 19:45,2015,3,20,,,,
1.111111111,1.851851852,0.740740741,2.592592593,18.51851852,0.37037037,251,2.02E+13,3/20/15 20:00,2015,3,20,,,,
-0.199203187,1.992031873,2.19123506,4.183266932,20.3187251,0.398406375,471,2.02E+13,3/20/15 21:15,2015,3,20,,,,
-2.756892231,2.005012531,4.761904762,6.766917293,23.68421053,1.503759398,746,2.02E+13,3/20/15 21:30,2015,3,20,,,,
4.016064257,4.417670683,0.401606426,4.819277108,19.67871486,0,231,2.02E+13,3/20/15 21:30,2015,3,20,,,,
0.651465798,1.302931596,0.651465798,1.954397394,19.86970684,0.325732899,286,2.02E+13,3/20/15 21:45,2015,3,20,,,,
