Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,-1.1686614
10/5/2016,-1.270164543,-1.28167502,-0.965051439,-1.166259799,-0.101503143,-0.11301362,0.203609961,0.002401601,,,
10/12/2016,-1.33385769,-1.302011116,-1.187055882,-0.982299973,-0.16519629,-0.133349716,-0.018394482,0.186361427,,,
10/19/2016,-3.03433606,-2.184096875,-1.732885947,-1.187242162,-1.86567466,-1.015435475,-0.564224547,-0.018580762,,,
10/26/2016,-0.987131921,-2.010733991,-1.656372553,-1.207975869,0.181529479,-0.842072591,-0.487711153,-0.039314469,,,
11/2/2016,-1.095042649,-1.041087285,-1.61259208,-1.28882176,0.073618751,0.127574115,-0.44393068,-0.12016036,,,
11/9/2016,-0.969536026,-1.032289338,-1.521511664,-1.354283773,0.199125374,0.136372062,-0.352850264,-0.185622373,,,
11/16/2016,-2.006581536,-1.488058781,-1.264573033,-1.49872949,-0.837920136,-0.319397381,-0.095911633,-0.33006809,,,
11/23/2016,-2.333917321,-2.170249428,-1.601269383,-1.628820968,-1.165255921,-1.001588028,-0.432607983,-0.460159568,,,
11/30/2016,-1.944094037,-2.139005679,-1.81353223,-1.713062155,-0.775432637,-0.970344279,-0.64487083,-0.544400755,,,
12/7/2016,-1.521373221,-1.732733629,-1.951491528,-1.736501596,-0.352711821,-0.564072229,-0.782830128,-0.567840196,,,
12/14/2016,-1.736329276,-1.628851248,-1.883928463,-1.574250748,-0.567667876,-0.460189848,-0.715267063,-0.405589348,,,
12/21/2016,-2.284943789,-2.010636532,-1.87168508,-1.736477232,-1.116282389,-0.841975132,-0.70302368,-0.567815832,,,
12/28/2016,-0.722095377,-1.503519583,-1.566185416,-1.689858823,0.446566023,-0.334858183,-0.397524016,-0.521197423,,,
1/4/2017,-1.248973058,-0.985534217,-1.498085375,-1.724788452,-0.080311658,0.183127183,-0.329423975,-0.556127052,,,
1/11/2017,-1.073035917,-1.161004487,-1.332262035,-1.608095249,0.095625483,0.007656913,-0.163600635,-0.439433849,,,
1/18/2017,-0.576409842,-0.824722879,-0.905128548,-1.388406814,0.592251558,0.343938521,0.263532852,-0.219745414,,,
1/25/2017,-1.260372049,-0.918390946,-1.039697716,-1.302941566,-0.091710649,0.250270454,0.128963684,-0.134280166,,,
2/1/2017,-1.563883516,-1.412127782,-1.118425331,-1.308255353,-0.395222116,-0.243466382,0.050236069,-0.139593953,,,
2/8/2017,-1.281944518,-1.422914017,-1.170652481,-1.251457258,-0.113283118,-0.254252617,-0.001991081,-0.082795858,,,
2/15/2017,-1.33735603,-1.309650274,-1.360889028,-1.133008788,-0.16869463,-0.140988874,-0.192227628,0.035652612,,,
2/22/2017,-1.213352941,-1.275354486,-1.349134251,-1.194415984,-0.044691541,-0.106693086,-0.180472851,-0.025754584,,,
3/1/2017,-2.055641675,-1.634497308,-1.472073791,-1.295249561,-0.886980275,-0.465835908,-0.303412391,-0.126588161,,,
3/8/2017,-1.05449335,-1.555067512,-1.415210999,-1.29293174,0.11416805,-0.386406112,-0.246549599,-0.12427034,,,
3/15/2017,-2.548766483,-1.801629916,-1.718063612,-1.53947632,-1.380105083,-0.632968516,-0.549402212,-0.37081492,,,
3/22/2017,-1.094820504,-1.821793493,-1.688430503,-1.518782377,0.073840896,-0.653132093,-0.519769103,-0.350120977,,,
3/29/2017,-0.080357692,-0.587589098,-1.194609507,-1.333341649,1.088303708,0.581072302,-0.025948107,-0.164680249,,,
4/5/2017,-1.441460948,,,,,,,,,,
4/12/2017,-1.594967935,,,,,,,,,,
