Week,Average,Company
9/2/2015,-2.365530479,google
9/9/2015,-1.860427745,google
9/16/2015,0.765153501,google
9/23/2015,-1.148328846,google
9/30/2015,-1.267063017,google
10/8/2015,-1.054596967,google
10/15/2015,-1.095640578,google
10/22/2015,-1.121729602,google
10/29/2015,-1.459246883,google
11/5/2015,-1.450275047,google
11/12/2015,-2.314724681,google
11/20/2015,-1.443699041,google
11/27/2015,-2.694211012,google
12/4/2015,-5.282118646,google
12/11/2015,-4.325427845,google
12/18/2015,-2.45948265,google
12/28/2015,0.439574417,google
1/5/2016,-2.613615918,google
1/12/2016,-2.430882122,google
1/19/2016,-2.578347089,google
1/26/2016,-2.866132196,google
2/2/2016,-1.261221698,google
2/9/2016,-1.086058989,google
2/16/2016,-3.016869684,google
2/23/2016,-1.487845788,google
3/1/2016,-1.820001342,google
3/8/2016,-1.833094014,google
3/15/2016,-2.149953993,google
3/22/2016,-2.540992916,google
3/29/2016,-2.532799919,google
4/5/2016,-2.253520432,google
4/12/2016,-2.91490634,google
4/19/2016,-1.6352209,google
4/26/2016,-0.772969641,google
5/3/2016,-1.652609577,google
5/10/2016,-2.824623564,google
5/17/2016,-2.147574251,google
5/24/2016,-1.822090359,google
5/31/2016,-2.576755336,google
6/7/2016,-2.796422572,google
6/14/2016,-2.886733436,google
6/22/2016,0.037732992,google
6/29/2016,-2.322331889,google
7/6/2016,-1.399032436,google
7/13/2016,-1.396925021,google
7/20/2016,-1.8423593,google
7/28/2016,-1.018152586,google
8/4/2016,-3.023111704,google
8/11/2016,-2.239834884,google
8/19/2016,-2.909491383,google
8/26/2016,-2.557437094,google
9/2/2016,-1.919214204,google
9/9/2016,-2.078335029,google
9/16/2016,-3.375823334,google
9/23/2016,-1.266981493,google
9/30/2016,-1.921200795,google
10/7/2016,-2.432728436,google
10/14/2016,-0.976551987,google
10/21/2016,-1.408910863,google
10/28/2016,-3.762839265,google
11/4/2016,-1.138572858,google
11/11/2016,-3.782787585,google
11/18/2016,-3.418699026,google
11/25/2016,-1.256001161,google
12/2/2016,-4.792381983,google
12/9/2016,-2.038798165,google
12/16/2016,-2.543980146,google
12/23/2016,-2.841042484,google
12/30/2016,-1.369845903,google
1/6/2017,-3.36978466,google
1/13/2017,-4.217922924,google
1/20/2017,-2.293722858,google
1/27/2017,-2.470538744,google
2/3/2017,-3.320542336,google
2/10/2017,-1.496044437,google
2/17/2017,-2.903761077,google
2/24/2017,-3.265346953,google
3/3/2017,-0.599605913,google
3/10/2017,-3.506743681,google
3/17/2017,-2.789266923,google
3/24/2017,-2.894397178,google
3/31/2017,-2.37699457,google
4/7/2017,-3.822622026,google
4/14/2017,-2.159819317,google
2/18/2015,-3.08988764,hp
3/2/2015,-3.230699776,hp
3/10/2015,0.610997963,hp
3/24/2015,-1.03342824,hp
5/6/2015,-1.752023597,hp
5/22/2015,-1.503759398,hp
8/27/2015,-2.693602694,hp
9/11/2015,-3.179697892,hp
9/22/2015,0.524934383,hp
10/1/2015,-2.08731659,hp
11/1/2015,-0.941948024,hp
12/27/2015,-0.780487805,hp
5/24/2016,-0.836829851,hp
5/31/2016,0.632911392,hp
6/13/2016,0.121728545,hp
6/20/2016,0,hp
7/9/2016,-1.070037394,hp
8/3/2016,-1.112792271,hp
8/24/2016,-3.80973046,hp
9/2/2016,1.7053256,hp
9/14/2016,-1.5625,hp
9/21/2016,-1.554869331,hp
9/28/2016,-3.598767273,hp
11/2/2016,-2.284263959,hp
11/18/2016,-0.904620801,hp
12/12/2016,-0.457815566,hp
1/19/2017,-4.752066116,hp
2/15/2017,-1.168614358,hp
4/18/2017,-1.838658237,hp
2/18/2015,0.543267365,ibm
2/26/2015,-2.212389381,ibm
3/19/2015,-2.492753623,ibm
3/26/2015,-2.5905283,ibm
4/3/2015,-0.707213579,ibm
4/13/2015,-1.226341494,ibm
4/20/2015,-0.072145704,ibm
4/27/2015,0.351489778,ibm
5/6/2015,1.635846373,ibm
5/13/2015,3.131873306,ibm
5/20/2015,0,ibm
6/19/2015,-1.175161741,ibm
6/26/2015,3.644646925,ibm
7/4/2015,-0.764818356,ibm
7/11/2015,1.030929244,ibm
7/21/2015,-3.064895416,ibm
7/28/2015,-2.676671005,ibm
8/6/2015,5.390900268,ibm
8/31/2015,-2.556759546,ibm
10/19/2015,-1.876295056,ibm
10/27/2015,-2.43902439,ibm
11/3/2015,-1.532241858,ibm
11/25/2015,0.749746504,ibm
12/8/2015,-1.684808088,ibm
1/4/2016,6.317204301,ibm
1/19/2016,-2.359708432,ibm
2/5/2016,1.896551724,ibm
2/17/2016,0.937472044,ibm
3/2/2016,-2.813721901,ibm
3/18/2016,-1.817569468,ibm
3/25/2016,-1.545930332,ibm
