ï»¿Date,Close,,Open,High,Low,Volume
10/20/15,97,,98.73,99.59,96.56,30700517
10/21/15,97.11,,97.37,98.18,96.47,21917763
10/22/15,99.67,,97.79,99.73,97.55,25517505
10/23/15,102.19,,101.91,102.85,100.16,42657856
10/26/15,103.77,,103.58,103.81,101.55,25822349
10/27/15,103.7,,102.94,104.1,102.4,22951414
10/28/15,104.2,,103.9,104.48,102.92,24024149
10/29/15,104.88,,103.96,105.12,103.52,20099855
10/30/15,101.97,,104.4,104.72,101.65,33381053
11/2/15,103.31,,101.72,103.47,101.18,23876266
11/3/15,102.58,,103.22,103.65,102.4,21096752
11/4/15,103.94,,103.19,104.14,102.48,38606400
11/5/15,108.76,4.64%,108.8,110.65,107.95,63013501
11/6/15,107.1,,108.04,108.74,105.91,34898019
11/9/15,106.49,,107,108.25,105.86,26326885
11/10/15,107.91,,106.17,108.15,105.24,24409940
11/11/15,109.01,4.88%,108.27,109.87,107.11,25003046
11/12/15,108.02,,108.48,109.39,108,20763843
11/13/15,103.95,,107.71,108.25,103.83,29438853
11/16/15,104.04,,103.32,104.17,100.47,49140589
11/17/15,105.13,,104.62,106.2,104.14,26649223
11/18/15,107.77,3.68%,105.8,107.88,105.39,23679764
11/19/15,106.26,,107.36,107.73,105.95,25477683
11/20/15,107.32,,106.84,107.87,106.62,22085405
11/23/15,106.95,,107.19,107.47,106.08,19733283
11/24/15,105.74,,106,106.49,104.39,23462829
11/25/15,105.41,,106.33,106.6,105.1,15150785
11/27/15,105.45,,105.78,105.96,104.86,5912671
11/30/15,104.24,,105.84,106.1,103.75,20008996
12/1/15,107.12,,104.83,107.15,104.5,22715616
12/2/15,106.07,,107,107.92,105.79,24295162
12/3/15,104.38,,103.95,106.85,103.35,23236485
12/4/15,106.18,,104.75,107.73,104.11,21224721
12/7/15,105.61,,106.48,106.83,104.66,15474890
12/8/15,106.49,,104,106.91,103.95,20401791
12/9/15,104.6,,106.18,106.44,103.55,23517268
12/10/15,105.42,,105.05,106.4,104.41,17454312
12/11/15,102.12,,104.15,104.34,101.91,26427727
12/14/15,104.66,,102.28,104.74,101.46,24648093
12/15/15,104.55,,105.3,105.8,104.28,21764331
12/16/15,106.79,,105.37,107.09,104.19,22680547
12/17/15,106.22,,107.49,107.75,106.13,21675686
12/18/15,104.04,,106.08,106.59,103.97,35994199
12/21/15,104.77,,104.91,105.15,103.6,16138786
12/22/15,105.51,,105.22,105.66,104.81,14597122
12/23/15,104.63,,105.89,106.11,103.86,19599673
12/24/15,105.02,,104.74,105.32,104.5,6512134
12/28/15,105.93,,105.02,105.98,104.53,13069733
12/29/15,107.26,,106.42,107.74,106.25,17179901
12/30/15,106.22,,107,107.25,106.06,13115007
12/31/15,104.66,,106,106.17,104.62,18391064
1/4/16,102.22,,101.95,102.24,99.75,37717312
1/5/16,102.73,,102.89,103.71,101.66,23258238
1/6/16,102.97,,101.13,103.77,100.9,25096183
1/7/16,97.92,,100.5,101.43,97.3,45172906
1/8/16,97.33,,99.88,100.5,97.03,35402298
1/11/16,97.51,,97.91,98.6,95.39,29932385
1/12/16,99.37,,99,99.96,97.55,28395390
1/13/16,95.44,,100.58,100.58,95.21,33091576
1/14/16,98.37,,95.85,98.87,92.45,48488509
1/15/16,94.97,,93.98,96.38,93.54,45935550
1/19/16,95.26,,96.53,97.42,93.92,30620565
1/20/16,94.35,,92.83,95,89.37,58982367
1/21/16,94.16,,94.91,95.99,92.62,30468830
1/22/16,97.94,,96.41,98.07,95.49,30331442
1/25/16,97.01,,98.72,99.48,96.93,32319141
1/26/16,97.34,,97.76,97.88,95.66,26637412
1/27/16,94.45,,97.79,97.85,94.23,48311872
1/28/16,109.11,15.52%,107.2,110.34,104.81,107084072
1/29/16,112.21,,108.99,112.84,108.84,62357459
2/1/16,115.09,,112.27,115.72,112.01,45840867
2/2/16,114.61,,114.8,117.59,113.2,59644925
2/3/16,112.69,19.31%,115.27,115.34,109.75,56848084
2/4/16,110.49,,111.8,111.94,109.25,38648485
2/5/16,104.07,,109.51,109.58,103.18,76522716
2/8/16,99.75,,100.41,102.68,97.46,71016537
2/9/16,99.54,,97.14,102.4,96.82,62580050
2/10/16,101,6.93%,101.55,103.25,100.24,44943948
2/11/16,101.91,,99.6,105.11,98.88,43493102
2/12/16,102.01,,103.74,104.24,101.09,36038104
2/16/16,101.61,,103.8,103.93,100.24,45438324
2/17/16,105.2,,101.94,105.72,100.4,43852623
2/18/16,103.47,,105.8,106,103.03,29374587
2/19/16,104.57,,102.55,105.02,102.06,32337444
2/22/16,107.16,,105.49,108.25,105.34,35630883
2/23/16,105.46,,106.85,107.47,105.12,25204873
2/24/16,106.88,,104.21,106.95,102.74,34239396
2/25/16,108.07,,107.11,108.07,105.61,29796180
2/26/16,107.92,,108.7,109.45,107.16,26578891
2/29/16,106.92,,107.6,108.91,106.75,32243645
3/1/16,109.82,,107.83,109.82,107.6,26694696
3/2/16,109.95,,109.68,110.55,108.77,25641627
3/3/16,109.58,,110.25,110.3,108.54,21333496
3/4/16,108.39,,110.05,110.05,107.93,24872895
3/7/16,105.73,,108.07,108.07,104.72,31436401
3/8/16,105.93,,104.78,107.37,104.4,25493546
3/9/16,107.51,,106.7,107.51,105.49,20449881
3/10/16,107.32,,107.91,108.66,105.77,24780710
3/11/16,109.41,,108.48,109.42,107.92,20581320
3/14/16,109.89,,109.28,110.33,108.77,17236054
3/15/16,110.67,,109.11,110.83,108.84,17618460
3/16/16,112.18,,110.49,112.5,110.1,24619730
3/17/16,111.02,,112.15,112.69,110.73,24204773
3/18/16,111.45,,111.56,112.42,110.27,36216958
3/21/16,111.85,,111.66,112.37,111.03,18394520
3/22/16,112.25,,111.36,112.88,111.17,18957831
3/23/16,112.54,,112.01,113.19,112,18468742
3/24/16,113.05,,112.13,113.09,111.68,17063766
3/28/16,113.69,,113.32,114.59,112.95,21312750
3/29/16,116.14,,113.83,116.32,113.64,29765753
3/30/16,114.7,,116.73,116.99,114.36,33180317
3/31/16,114.1,,114.7,115.01,113.77,21138743
4/1/16,116.06,,113.75,116.17,113.35,24725954
4/4/16,112.55,,114.07,114.55,111.61,48382180
4/5/16,112.22,,112.11,113.32,111.9,22752484
4/6/16,113.71,,112.47,113.81,112.42,20522412
4/7/16,113.64,,113.79,114.89,113.07,20324759
4/8/16,110.63,,114.25,114.33,109.9,48424776
4/11/16,108.99,,110.7,110.91,108.77,39563863
4/12/16,110.61,,109.34,111.16,108.99,26175943
4/13/16,110.51,,112.23,112.65,106.52,88113011
4/14/16,110.84,,110.62,112.04,110.26,28430914
4/15/16,109.64,,110.79,110.97,109.2,20763396
4/18/16,110.45,,109.74,110.81,109.2,21092654
4/19/16,112.29,,111.1,112.45,109.16,30147644
4/20/16,112.42,,112.43,113.27,111.56,20998319
4/21/16,113.44,,112.55,114.04,112.31,20409388
4/22/16,110.56,,111.21,111.75,109.01,38330597
4/25/16,110.1,,109.87,110.67,109.07,20979671
4/26/16,108.76,,110.49,110.5,108.15,22189916
4/27/16,108.89,,107.94,108.94,106.31,44036820
4/28/16,116.73,7.20%,119.58,120.79,116.23,86746016
4/29/16,117.58,,116.82,117.84,115.84,37031156
5/2/16,118.57,,117.83,118.73,116.57,27769280
5/3/16,117.43,,117.52,118.16,117.02,23746203
5/4/16,118.06,8.42%,116.61,118.3,116.57,23380209
5/5/16,117.81,,118.04,118.98,117.25,21999237
5/6/16,119.49,,117.16,119.64,117.11,26216236
5/9/16,119.24,,119.54,120.28,118.9,21077084
5/10/16,120.5,,119.62,120.5,119,22803690
5/11/16,119.52,9.76%,120.41,121.08,119.42,21927392
5/12/16,120.28,,119.98,120.84,118.9,21636556
5/13/16,119.81,,120.38,120.64,119.68,18047101
5/16/16,118.67,,119.38,119.61,117.35,31178289
5/17/16,117.35,,118.82,119.01,117.2,21269720
5/18/16,117.65,,116.8,118.27,116.73,21571824
