¥éËDate,Close,,Open,High,Low,Volume
12/24/15,55.67,,55.86,55.96,55.43,9570002
12/28/15,55.95,,55.35,55.95,54.98,22458293
12/29/15,56.55,,56.29,56.85,56.06,27731403
12/30/15,56.31,,56.47,56.78,56.29,21704505
12/31/15,55.48,,56.04,56.19,55.42,27334061
1/4/16,54.8,,54.32,54.8,53.39,52843210
1/5/16,55.05,,54.93,55.39,54.54,34079674
1/6/16,54.05,,54.32,54.4,53.64,39518863
1/7/16,52.17,,52.7,53.48,52.07,56564852
1/8/16,52.33,,52.37,53.28,52.15,48753969
1/11/16,52.3,,52.51,52.85,51.46,36943756
1/12/16,52.78,,52.76,53.1,52.06,36095539
1/13/16,51.64,,53.8,54.07,51.3,66119018
1/14/16,53.11,,52,53.42,51.57,51429807
1/15/16,50.99,,51.31,51.97,50.34,70739137
1/19/16,50.56,,51.48,51.68,50.06,43128276
1/20/16,50.79,,49.98,51.38,49.1,63162940
1/21/16,50.48,,51,51.58,50.3,40169367
1/22/16,52.29,,51.41,52.33,51.26,36878402
1/25/16,51.79,,51.94,52.65,51.65,34497323
1/26/16,52.17,,51.79,52.44,51.55,28699484
1/27/16,51.22,,52.01,52.2,51.02,36266102
1/28/16,52.06,,51.86,52.21,51.25,58489190
1/29/16,55.09,5.82%,54.73,55.09,54,83137039
2/1/16,54.71,,54.88,55.09,54.5,43587105
2/2/16,53,,54.17,54.26,52.65,54453559
2/3/16,52.16,,53.25,53.39,51.26,57347519
2/4/16,52,-5.61%,52.1,52.81,51.37,46803371
2/5/16,50.16,,51.94,52,49.56,60651115
2/8/16,49.41,,49.55,49.57,48.19,57006105
2/9/16,49.28,,49.02,50.24,48.67,45822192
2/10/16,49.71,,49.89,50.39,49.52,37899918
2/11/16,49.69,-9.80%,48.68,50.11,48.51,48448154
2/12/16,50.5,,50.25,50.68,49.75,33292336
2/16/16,51.09,,50.9,51.09,50.13,35937137
2/17/16,52.42,,51.49,52.77,51.45,39670289
2/18/16,52.19,,52.33,52.95,52.1,26244683
2/19/16,51.82,,51.97,52.28,51.53,33275399
2/22/16,52.65,,52.28,53,52.28,24854437
2/23/16,51.18,,52.34,52.37,50.98,28390773
2/24/16,51.36,,50.69,51.5,50.2,32076012
2/25/16,52.1,,51.73,52.1,50.61,26695920
2/26/16,51.3,,52.6,52.68,51.1,35869193
2/29/16,50.88,,51.35,51.65,50.66,31247142
3/1/16,52.58,,50.97,52.59,50.92,32778474
3/2/16,52.95,,52.41,52.96,52.16,29049172
3/3/16,52.35,,52.97,52.97,51.78,24418148
3/4/16,52.03,,52.4,52.45,51.71,32280449
3/7/16,51.03,,51.56,51.8,50.58,38407847
3/8/16,51.65,,50.8,52.13,50.6,33352218
3/9/16,52.84,,51.89,52.85,51.86,28145151
3/10/16,52.05,,52.93,52.94,51.16,38384242
3/11/16,53.07,,53,53.07,52.38,32174336
3/14/16,53.17,,52.71,53.59,52.63,23751138
3/15/16,53.59,,52.75,53.59,52.74,21104763
3/16/16,54.35,,53.45,54.6,53.4,31297892
3/17/16,54.66,,54.21,55,54,28186465
3/18/16,53.49,,54.92,54.97,53.44,67422879
3/21/16,53.86,,53.25,53.93,52.93,23807263
3/22/16,54.07,,53.61,54.25,53.46,22911577
3/23/16,53.97,,54.11,54.24,53.74,19905295
3/24/16,54.21,,53.84,54.33,53.73,18842667
3/28/16,53.54,,54.21,54.29,53.33,16988240
3/29/16,54.71,,53.66,54.86,53.45,23375017
3/30/16,55.05,,54.93,55.64,54.9,22920330
3/31/16,55.23,,54.95,55.59,54.86,26173764
4/1/16,55.57,,55.05,55.61,54.57,24298612
4/4/16,55.43,,55.43,55.66,55,18832210
4/5/16,54.56,,55.19,55.3,54.46,19148783
4/6/16,55.12,,54.36,55.2,54.21,21032057
4/7/16,54.46,,54.87,54.91,54.23,18584125
4/8/16,54.42,,54.67,55.28,54.32,22157037
4/11/16,54.31,,54.49,55.15,54.3,21332336
4/12/16,54.65,,54.37,54.78,53.76,24574169
4/13/16,55.35,,55.12,55.44,54.89,20601278
4/14/16,55.36,,55.22,55.58,55.07,20875102
4/15/16,55.65,,55.3,55.92,55.11,28377584
4/18/16,56.46,,55.49,56.59,55.21,23150318
4/19/16,56.39,,56.63,56.77,55.68,29533701
4/20/16,55.59,,56.29,56.5,55.48,36014074
4/21/16,55.78,,55.8,56.23,55.42,36826521
4/22/16,51.78,-7.17%,51.91,52.43,50.77,125600219
4/25/16,52.11,,51.78,52.13,51.63,33106540
4/26/16,51.44,,52.26,52.35,51.09,33262278
4/27/16,50.94,,51.48,51.5,50.55,43145896
4/28/16,49.9,-3.63%,50.62,50.77,49.56,42758226
4/29/16,49.87,,49.35,50.25,49.35,48339735
5/2/16,50.61,,50,50.75,49.78,33004106
5/3/16,49.78,,50.34,50.41,49.6,26196074
5/4/16,49.87,,49.84,50.06,49.46,24171449
5/5/16,49.94,-3.55%,49.87,50.3,49.73,25309543
5/6/16,50.39,,49.92,50.39,49.66,24715575
5/9/16,50.07,,50.49,50.58,50,17844648
5/10/16,51.02,,50.33,51.1,50.19,22741527
5/11/16,51.05,,51.13,51.78,51,23910684
5/12/16,51.51,,51.2,51.81,50.92,24099431
5/13/16,51.08,,51.44,51.9,51.04,22436700
5/16/16,51.83,,50.8,51.96,50.75,19944632
5/17/16,50.51,,51.72,51.73,50.36,27766669
